title,link
ownCloud.graphapi.GetPhpInfo.php.Information.Disclosure,https://www.fortiguard.com/encyclopedia/ips/54470
Apache.Superset.Signed.Cookie.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/54298
Wind.River.VxWorks.NULL.Urgent.Pointer.Integer.Underflow,https://www.fortiguard.com/encyclopedia/ips/54411
XWiki.AdminSheet.Section.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/54407
ZoneMinder.Snapshots.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54405
JumpServer.CoreAPI.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54287
Visualware.MyConnection.Server.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/54380
Atlassian.Confluence.DC.setup-restore.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54355
XWiki.Change.Request.Extension.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/54352
Apache.ActiveMQ.CVE-2023-46604.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/54343
MagnusSolution.MagnusBilling.icepay.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54351
Cisco.IOS.XE.Web.UI.Unauthorized.Account.Creation,https://www.fortiguard.com/encyclopedia/ips/54316
F5.BIG-IP.TMUI.AJP.Smuggling.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/54324
Sunhillo.SureLine.CVE-2021-36380.Remote.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54310
Yifan.YF325.validate.so.diag_ping_start.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/54301
Cisco.IOS.XE.Web.UI.Backdoor,https://www.fortiguard.com/encyclopedia/ips/54224
FG-VD-54089.0day,https://www.fortiguard.com/encyclopedia/ips/54089
ELASTIC.KIBANA.Upgrade.Assistant.Remote.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/54225
Juniper.Networks.Junos.OS.PHPRC.ENV.VAR.Remote.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/54081
Atlassian.Confluence.Unauthorized.Admin.Account.Creation,https://www.fortiguard.com/encyclopedia/ips/54136
Fluentd.FLUENT_OJ_OPTION_MODE.object.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/54125
